siteID,season_seeded,date_seeded,year_seeded,area_in_strips,seeding_method,seed_source,species_seeded,management,burn_year,burn_notes,nurse_crop
arm,fall,11/20/2014,2014,8308.930171,drill,Allendan,40,burn,2019,spring,rye
bue,spring,5/25/2014,2014,26544.83769,drill,The Prairie Flower,36,,,,none
dmw,spring,4/9/2014,2014,5086.78568,broadcast cultipacker,Shooting Star Native Seed,27,,,,oats
ges,spring,3/31/2015,2015,8074.847252,drill,Allendan,38,,,,oats
gos,summer,06/01/2014,2014,3749.574376,Hand broadcast with wet sand,,,burn,,,none
gut,fall,11/20/2014,2014,14000.53926,broadcast,Carl Kurtz,41,burn,2019,"1/2 spring, 1/2 fall",none
hoe,fall,11/1/2015,2015,101144.4571,drill,The Prairie Flower,28,,,,oats
isb,summer,6/16/2014,2014,3161.494131,drill,Pheasants Forever,15,,,,oats
mcn,summer,6/18/2014,2014,8281.858531,drill,Prairie Seed Farms,45,,,,
mqw,summer,6/1/2014,2014,1672.768162,,Prairie Seed Farms,32,burn,2016,,oats
mrs,fall,12/1/2014,2014,65034.0115,broadcast,Allendan,40,,,,
mug,spring,5/1/2015,2015,16216.3742,drill,The Prairie Flower,31,burn,2019,only burned half the strips,
nyk,summer,6/15/2016,2016,12393.07948,drill,Allendan,40,,,,oats
pow,spring,5/28/2016,2016,42300.5214,drill,Freedom Creek Prairie Seed,26,,,,
rdm,fall,11/21/2016,2016,39226.20682,drill,Shooting Star Native Seed,42,,,,none
rho,summer,6/3/2015,2015,7563.78,broadcast harrow,Allendan,40,,,,oats
rod,spring,4/1/2012,2012,17324.08962,,,17,burn,2019,,
ser,spring,4/26/2016,2016,6760.114196,broadcast cultipacker,Allendan,40,,,,oats
slo,summer,6/1/2012,2012,16850.91591,,Allendan,29,burn,,"has burned 1, 2, 4",
sme,fall,12/5/2014,2014,7589.29248,drill,Pheasants Forever,,,,,
smi,spring,3/31/2015,2015,9015.882971,broadcast cultipacker,,25,burn,2019,has burned multiple times,
stn,winter,1/27/2016,2016,24029.18429,broadcast harrow,Carl Kurtz,42,burn,2018,"spring, only burned 3 & 5",none
stt,summer,6/1/2015,2015,5658.915441,,Prairie Seed Farms,34,burn,,only burned strip 5,
wat,summer,,2013,23951.74562,,,,,,,
whi,winter,12/18/2015,2015,53650.57,drill,Jon Judson,54,,,,
wor,spring,4/1/2015,2015,8156.502011,drill,Allendan,40,burn,2018,spring,
