quadratID,easting,northing
rho_1_1,255.7962,98.714
rho_1_3,252.8544,-87.925
rho_1_2,253.5443,74.422
rho_1_6,251.7895,-149.354
rho_1_5,253.6626,-115.553
rho_1_4,253.6854,-99.43
rho_2_9,33.7284,127.486
rho_2_3,187.2874,-141.082
rho_2_2,189.9021,-175.699
rho_2_7,95.5898,113.487
rho_2_5,187.3235,-23.746
rho_2_8,90.3315,118.714
rho_2_6,192.3418,-15.608
rho_2_1,191.2331,-222.022
rho_2_4,192.107,-28.692
rho_3_5,131.7842,-154.607
rho_3_2,132.9214,-19.82
rho_3_4,129.5646,-134.605
rho_3_3,133.9511,-130.707
rho_3_6,129.7347,-181.666
rho_3_1,108.5462,37.804
rho_4_3,211.0648,281.768
rho_4_2,219.7773,267.556
rho_4_1,240.6692,252.702
