quadratID,northing,easting
sme_1_1,405779.1735,4696088.394
sme_1_10,405901.3878,4696056.066
sme_1_11,405906.3842,4696046.359
sme_1_12,405920.208,4696042.703
sme_1_13,405930.83,4696059.663
sme_1_14,405930.8035,4696050.531
sme_1_15,405966.396,4696050.059
sme_1_16,405983.2017,4696048.549
sme_1_17,405992.0535,4696039.237
sme_1_18,405999.9477,4696038.767
sme_1_19,406009.14,4696021.124
sme_1_2,405813.6713,4696078.866
sme_1_20,406012.6741,4696013.791
sme_1_3,405839.3494,4696077.927
sme_1_4,405851.1015,4696065.295
sme_1_5,405857.107,4696060
sme_1_6,405881.2844,4696070.298
sme_1_7,405881.8988,4696052.772
sme_1_8,405899.0032,4696068.141
sme_1_9,405896.4125,4696054.619
sme_2_1,405993.7565,4695961.893
sme_2_2,405960.5157,4695975.792
sme_2_3,405934.8401,4695982.035
sme_2_4,405775.3621,4696026.604
