quadratID,easting,northing
smi_1_1,433006.3708,4724849.174
smi_1_10,433009.3768,4724636.657
smi_1_11,433012.523,4724609.158
smi_1_12,433005.2494,4724578.983
smi_1_13,433006.6895,4724501.847
smi_1_14,433001.0614,4724478.941
smi_1_15,433016.319,4724441.183
smi_1_16,433024.6814,4724439.126
smi_1_17,433024.1442,4724437.905
smi_1_2,433002.8938,4724772.687
smi_1_3,433007.7177,4724771.042
smi_1_4,432998.9285,4724735.763
smi_1_5,433001.1617,4724724.05
smi_1_6,433009.1603,4724680.61
smi_1_7,433003.0979,4724653.96
smi_1_8,433001.2199,4724650.062
smi_1_9,433012.2298,4724643.572
smi_2_1,432958.0007,4724642.076
smi_2_2,432955.8122,4724704.224
smi_2_3,432962.2741,4724730.656
smi_2_4,432961.5472,4724816.142
smi_2_5,432955.7457,4724860.727
smi_2_6,432961.4825,4724862.324
smi_2_7,432959.7544,4724885.773
